Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1805,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | DR. A.P.J ABDUL KALAM: Culture of Excellence (English Subtitles),https://www.youtube.com/watch?v=LEtP7HgGTu0,Module 9:   Shaping Tomorrow,9.2 ENGLISH SPEECH | DR. A.P.J ABDUL KALAM: Culture of Excellence (English Subtitles),12th,English/Hindi
1806,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | DR. SHASHI THAROOR: Britain Must Apologise (English Subtitles),https://www.youtube.com/watch?v=g6EC6gY95fU,Module 9:   Shaping Tomorrow,9.3 ENGLISH SPEECH | DR. SHASHI THAROOR: Britain Must Apologise (English Subtitles),12th,English/Hindi
1807,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | MATTHEW MCCONAUGHEY: White House Speech (English Subtitles),https://www.youtube.com/watch?v=2fWJh-_UG5s,Module 10: Voices of Resilience,10.1 ENGLISH SPEECH | MATTHEW MCCONAUGHEY: White House Speech (English Subtitles),12th,English/Hindi
1808,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | BORIS JOHNSON: Resignation Speech (English Subtitles),https://www.youtube.com/watch?v=kmvrJoGJ84U,Module 10: Voices of Resilience,10.2 ENGLISH SPEECH | BORIS JOHNSON: Resignation Speech (English Subtitles),12th,English/Hindi
1809,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | BARACK OBAMA: The People of India (English Subtitles),https://www.youtube.com/watch?v=S1dNuCG3sOA,Module 10: Voices of Resilience,10.3 ENGLISH SPEECH | BARACK OBAMA: The People of India (English Subtitles),12th,English/Hindi
1810,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),https://www.youtube.com/watch?v=GVc4wTaczdY,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1811,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | RISHI SUNAK: First Speech as U.K. Prime Minister (English Subtitles),https://www.youtube.com/watch?v=BVgnIYSKUjY,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1812,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | OBAMA & GATES: Leadership & World Change (English Subtitles),https://www.youtube.com/watch?v=QTR4l60l910,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1813,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | MELANIA TRUMP: Children's Welfare (English Subtitles),https://www.youtube.com/watch?v=SX08ZKy-WY4,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1814,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | SAM ALTMAN: The Father of ChatGPT (English Subtitles),https://www.youtube.com/watch?v=vzLmRomOP4Q,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1815,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | PM NARENDRA MODI: India-Australia Partnership (English Subtitles),https://www.youtube.com/watch?v=3x4zM7O8pZI,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1816,Journalism,Political Speech with English Subtitles,,"ENGLISH SPEECH | MICHELLE, MELINDA & AMAL: Stronger Together (English Subtitles)",https://www.youtube.com/watch?v=NWXjLo8xOlw,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1817,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | RAHUL GANDHI: India's Democratic Walk (English Subtitles),https://www.youtube.com/watch?v=61nJRs4mF5o,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1818,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | HILLARY CLINTON: Commencement Speech (English Subtitles),https://www.youtube.com/watch?v=l4JRQorvEQ4,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1819,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | IVANKA: WSU Tech 2020 (English Subtitles),https://www.youtube.com/watch?v=QGR2xQDb4-4,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1820,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | VOLODYMYR ZELENSKYY: Save Ukraine (English Subtitles),https://www.youtube.com/watch?v=S_PGpWTnlfw,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1821,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | AKSHATA MURTHY: UK's First Lady (English Subtitles),https://www.youtube.com/watch?v=vD4mbkicc3U,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1822,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | RISHI SUNAK & ELON MUSK: AI and the Future of Work (English Subtitles),https://www.youtube.com/watch?v=5DU16MQYzDw,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1823,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | OMAR AL OLAMA: Unleashing Ambitions (English Subtitles),https://www.youtube.com/watch?v=XR8aTbvRhxQ,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1824,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | MARTIN LUTHER KING JR.: I Have a Dream! (English Subtitles),https://www.youtube.com/watch?v=qHc3FY9il1s,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1825,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | DR. KIRAN BEDI: Road Safety (English Subtitles),https://www.youtube.com/watch?v=MpMtBWwXCLU,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1826,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | S. JAISHANKAR: India's Five Pledges (English Subtitles),https://www.youtube.com/watch?v=-6qN3bm2RYo,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
1827,Journalism,Political Speech with English Subtitles,,ENGLISH SPEECH | PRESIDENT BIDEN: Humorous Speech (English Subtitles),https://www.youtube.com/watch?v=xtT19s0uHhE,Module 10: Voices of Resilience,10.4 ENGLISH SPEECH | MALALA & TRUDEAU: Women's Empowerment (English Subtitles),12th,English/Hindi
